,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,c1,c2,c3,outside
r1,0.6123624170857934,0.2112939416604338,0.02736865245108815,0.05486759382739569,0.006202480992396959,0.049391817176557315,0.049078392182989115,0.04643765903307888,0.024857071836937607,0.02446660482374768,0.03159784560143627,0.06288076588337685,0.022346789059854783,0.06758832565284179
r2,0.16160069975945768,0.2844988780852655,0.04506484941745439,0.079253191084016,0.010375578802949752,0.06155547364541098,0.06595602931379081,0.060432569974554706,0.03529704200845141,0.033279220779220776,0.046768402154398564,0.09747606614447346,0.0811481885557353,0.08141321044546851
r3,0.017275311611633502,0.03646222887060584,0.5024181138711805,0.040769670413412076,0.004458926427713943,0.028750460744563215,0.0552964690206529,0.061068702290076333,0.017399950285856326,0.022263450834879406,0.16552962298025134,0.07114882506527415,0.019374741356608105,0.27035330261136714
r4,0.019316276696552226,0.037490650710546,0.03374367992965487,0.1308820727757668,0.030469330589378608,0.054183560633984516,0.04730179880079947,0.04770992366412214,0.024608501118568233,0.02092996289424861,0.07737881508078995,0.057441253263707574,0.01933712049960498,0.05683563748079877
r5,0.01975362635760624,0.028889304412864622,0.017366454165750715,0.20689655172413793,0.8737209169382039,0.3977147069664578,0.030646235842771485,0.03244274809160305,0.021874223216505097,0.01414656771799629,0.02540394973070018,0.050913838120104436,0.013769233663142847,0.06144393241167435
r6,0.009986150594066623,0.014210919970082274,0.009342712684106398,0.024576109735187656,0.03418510261247356,0.18798378179137487,0.015545192094159449,0.011450381679389313,0.012925677355207556,0.003942486085343228,0.006642728904847397,0.02349869451697128,0.005718370264474625,0.027649769585253458
r7,0.017566878052336175,0.03169409124906507,0.022532424708727194,0.03905505810630596,0.004144514948836678,0.019904165130851456,0.17788141239173885,0.2480916030534351,0.017897091722595078,0.018436920222634507,0.032944344703770195,0.047650130548302874,0.046612241826868815,0.03840245775729647
r8,0.0066331365259858594,0.009910246821241586,0.010331941085952957,0.016003048199657078,0.001714971702966901,0.0055289347585698485,0.08438818565400844,0.1806615776081425,0.005468555804126274,0.00510204081632653,0.00969479353680431,0.020670147954743257,0.006056957977502727,0.015360983102918587
r9,0.009111451271958598,0.013930441286462229,0.007254341613541437,0.016955610592493807,0.0022008803521408565,0.022115739034279394,0.012880302020874972,0.014631043256997456,0.6149639572458364,0.006667439703153989,0.01104129263913824,0.1031331592689295,0.006508408261540198,0.03225806451612903
r10,0.027771703476929806,0.04263275991024682,0.043196306880633105,0.06325014288435893,0.006859886811867604,0.02838186509399189,0.06417943593160115,0.07506361323155217,0.0280884911757395,0.4824907235621521,0.05116696588868941,0.12140992167101827,0.20149731010872426,0.0967741935483871
c1,0.025366280341132735,0.04674644727000748,0.18740382501648714,0.1712707182320442,0.008346195621105584,0.04091411721341688,0.07128580946035976,0.05407124681933842,0.03231419338801889,0.03530844155844156,0.4026032315978456,0.12489120974760662,0.03265490387871036,0.07834101382488479
c2,0.023106640425687004,0.039547494390426326,0.02736865245108815,0.056010668698799775,0.006602641056422569,0.0475488389237007,0.049966688874083946,0.05534351145038168,0.1185682326621924,0.032119666048237475,0.049461400359066425,0.05352480417754569,0.028554230465370003,0.05683563748079877
c3,0.04701508856330636,0.19736350037397157,0.0508903055616619,0.09468470184797104,0.00974675584519522,0.05160339107998525,0.27026426826560074,0.10305343511450382,0.041014168530947054,0.29928107606679033,0.08500897666068223,0.15709312445604873,0.5141642526616756,0.11059907834101383
outside,0.0031343392375537574,0.005329094988780853,0.015717740162673115,0.0055248618784530384,0.0009718172983479105,0.0044231478068558795,0.005329780146568954,0.009541984732824428,0.004722843649018146,0.0015653988868274582,0.004757630161579892,0.008268059181897302,0.002257251420187352,0.006144393241167435
